"Name,Checked Out By,Checked Out In,Revision,Modified,Doc ID"
"mo08300800012,AVI,MTL-AVI-HPZ   C:\ePDM_Elcam\ManEng\שרטוטי מתקנים\MO - מחלקת תבניות\083 - ECONOMY 2007 גופים\008 - פין לואר זכר,-,22/01/2023 15:30:48,"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - חן כהן,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272050"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - דניאל אבייב,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272049"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - דני טובין,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272048"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - דמטרי אברמוביץ,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272047"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - יבגני בגרוב,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272052"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - ישי קפלן,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272053"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - איגור קגן,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272045"
"נספח 9 לנוהל 1-07-01- תיעוד הרדכה לעובד זמני- נוהל פיתוח לעובדי Meddevsoft,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,29/11/2022 15:33:40,Doc-269594"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - ליעד עוז,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272054"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - מוטי שני,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272055"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - מיכאל מילר,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272056"
"INX100424392 Genotropin Hazard Analysis (v1 APPROVED),avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Product risk management\Pfizer_Genotropin Hazard Analysis Document,-,19/01/2023 16:55:02,Doc-273569"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - טניה סימון,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272051"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - מתן עמר,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272057"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - ניב בונדר,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272058"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - עידן ארטום,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272059"
"ISO 14971 Risk management - איגור קגן,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\ISO 14971 training for CommiT,-,01/02/2023 15:45:43,Doc-274280"
"ISO 14971 Risk management - אלון מקל,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\ISO 14971 training for CommiT,-,01/02/2023 15:45:43,Doc-274281"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - עינת לביא,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272060"
"Somatrogon Hazard analysis,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\3-Design reviews\Product risk management\Obsolete,-,24/05/2022 08:52:13,Doc-256678"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - עמי ששון,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272061"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - תמיר בלום,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272062"
"Copy of PRJ-0631-Genotropin Injector pen - FMEA_27Feb2022,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Product risk management\obsolete,,26/04/2022 10:49:37,"
"רשימת עובדים באלכם,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272063"
"14971 Training (MeddevSoft),avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\ISO 14971 training for CommiT,-,31/01/2023 15:53:41,Doc-274205"
"-ISO 14971 Risk management -עמי ששון,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\ISO 14971 training for CommiT,-,01/02/2023 15:35:25,Doc-274278"
"20221122 Genotropin Injector pen Essential Performance identification 22.11.2022,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Product risk management\Genotropin CQAs & EPRs,-,29/12/2022 13:19:57,Doc-271706"
"-ISO 14971 Risk management - חן כהן,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\ISO 14971 training for CommiT,-,01/02/2023 15:35:25,Doc-274277"
"20221207 - INX100491561- CQA and EPR document,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\System Project\PRS-0003-Genotropin Injector pen\5-Des. V&V\Design Verification,-,07/12/2022 14:57:58,Doc-270616"
"נספח 9 לנוהל 1-07-01 - תיעוד הדרכה - אלון מקל,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\System Developmet training for Commit,-,08/01/2023 16:08:38,Doc-272046"
"-ISO 14971 Risk management -תמיר בלום,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\ISO 14971 training for CommiT,-,01/02/2023 15:45:43,Doc-274283"
"-ISO 14971 Risk management -מיכאל מילר,avihai.b,E3D-AVIHAIB-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\3-Design reviews\Meeting minutes & Correspondences\External employees training records\ISO 14971 training for CommiT,-,01/02/2023 15:45:43,Doc-274282"
"PRJ-0636 - Flexi-Q CAI 14-03-22,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0636-Flexi-Q CAI\1-Design & development planning\Project Planning,-,14/03/2022 16:24:32,Doc-252878"
"IOQ- Auto Injector assembly jig,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Validations\Val-1748-Flexi-Q CAI\Val-1748_General_Flexi-Q CAI\Qualification by Customer,0,19/06/2022 10:31:59,Doc-260548"
"PRJ-0636-Flexi-Q CAI -Design Verification Plan Rev A,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0636-Flexi-Q CAI\5-Design v&v\Design Verification,-,06/07/2022 10:05:13,Doc-262585"
"PRJ-0659-Flexi-Q PDVR for PTGX -Regulatory Review DRAFT,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0659-Flexi-Q PDVR for PTGX\2-Design input\Regulation,-,15/02/2022 19:07:16,Doc-250265"
"PRJ-0659-Flexi-Q PDVR for PTGX -Documentation Check List Rev A,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0659-Flexi-Q PDVR for PTGX\6-Design transfer\Documentation Check List,-,15/02/2022 18:46:02,Doc-250264"
"PRJ-0659 Flexi-Q PDVR for PTGX - Kickoff meeting minutes,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0659-Flexi-Q PDVR for PTGX\3-Design reviews\Meeting minutes & Correspondences\Kickoff\PTGX E3D Kickoff,-,16/07/2021 13:34:41,Doc-228107"
"PRJ-0636-Flexi-Q CAI - 1ml - Traceability Matrix,avner.h,E3D-AVNER   C:\ePDM_Elcam\Projects\PRJ-0636-Flexi-Q CAI\2-Design input\Product Specifications,-,19/08/2020 10:22:17,Doc-184114"
"Biocompatibility Evaluation Report - Flexi Q CAI with turquoise cap - final,avner.h,E3D-AVNER-HP   C:\ePDM_Elcam\Projects\PRJ-0636-Flexi-Q CAI\5-Design v&v\Design Verification\Biocompatibility,-,18/01/2023 19:35:06,Doc-273527"
"PRJ-0659-Flexi-Q PDVR for PTGX -Product Specification Rev A,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0659-Flexi-Q PDVR for PTGX\2-Design input\Product Specifications,-,15/02/2022 18:30:57,Doc-250263"
"PTGX E3D KO Meeting,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0659-Flexi-Q PDVR for PTGX\3-Design reviews\Meeting minutes & Correspondences\Kickoff\PTGX E3D Kickoff,-,16/07/2021 13:34:41,Doc-228108"
"PRJ-0659-Flexi-Q PDVR for PTGX - Internal Kickoff meeting,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0659-Flexi-Q PDVR for PTGX\1-Design & development planning\Kickoff,-,28/06/2021 08:53:05,Doc-226983"
"PTGX E3D KO Meeting,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0659-Flexi-Q PDVR for PTGX\3-Design reviews\Meeting minutes & Correspondences\Kickoff\PTGX E3D Kickoff,-,16/07/2021 13:52:51,Doc-228110"
"PTGX _ E3D PDVR Project Meeting Dec_ 14th 2021,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0659-Flexi-Q PDVR for PTGX\3-Design reviews\Meeting minutes & Correspondences\PTGX - E3D meeting,-,19/12/2021 14:52:34,Doc-246784"
"Design inputs observations After DR,avner.h,E3D-AVNER-L460   C:\ePDM_Elcam\Projects\PRJ-0636-Flexi-Q CAI\2-Design input,,31/01/2021 14:45:58,"
"מעקב נוכחות ישיבות איילת,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274948"
"מחשבון לזיקון מואץ,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274947"
"טופס החזרי אשל,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274946"
"טופס אשל ונסיעות,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274945"
"המחקר שמגלה מדוע יזמים מנוסים נכשלים שוב ושוב בעמידה בדד,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274944"
"הוצאות אפשריות,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274943"
"דוח תקציב,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274942"
"משלוח חבילה לשרלוט,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274949"
"דוח תקציב,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274941"
"HF study Label 40x36_silver,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\2-Design input\Device Label,-,15/01/2023 13:15:00,Doc-272400"
"רשימה,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274951"
"ACCURO GANTT 1.2.21,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274961"
"BOM,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274962"
"GANTT 4.5.21,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274963"
"Invoice,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274964"
"LEXAN SABIC,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274965"
"Position,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274966"
"PRJ-0604-Accuro Arthrotap 18.3.21.mpp,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274967"
"PRJ-0604-Accuro ArthroTap 20.1.22.mpp,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274968"
"PRJ-0604-Accuro.mpp,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274969"
"ארוחת בוקר E3D,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274940"
"Zoom,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274939"
"Q14757A_ELCAM_Anthroptap_Device_Production,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274970"
"Q14757B_ELCAM_Anthroptap_Device_Single_Cavity_Production,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274971"
"זמנים,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274972"
"WhatsApp,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274938"
"TeamViewerQS_Ver_11,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,,09/02/2023 09:46:34,"
"Synerion_Direct,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274937"
"חקר עיכובים בפרויקט PRJ-0604 Accuro Arthrotap,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274973"
"תקציבי 2022 הערכת מנהלי פרויקטים,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274952"
"סיכום מפגש מנהלת ACCURO 3.3.19,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274974"
"Package levels labels,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0631-Genotropin Injector pen\4-Design output\Regulatory data,,15/01/2023 14:56:43,"
"PRJ-0670-Flexi-Q EAI 100 for Epinephrine - Meeting Minutes,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0670-Flexi-Q EAI 100 for Epinephrine\3-Design reviews\Meeting minutes & Correspondences\Internal Meetings,-,15/02/2023 12:59:27,Doc-275366"
"Accuro  2019,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\ACCURO,-,09/02/2023 09:46:58,Doc-274960"
"ACIST MEDICAL SYSTEMS, INC -Improved HP stp + rotator-01-2016- טופס סקר חוזה ,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\2017-2016 projects,-,09/02/2023 09:46:51,Doc-274953"
"PRJ-0042-Gambro CV-Project Plan,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\2017-2016 projects,-,09/02/2023 09:46:51,Doc-274954"
"PRJ-0490-S2R robast design for side force-תוכנית פרויקט שיפור תכן,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\2017-2016 projects,-,09/02/2023 09:46:51,Doc-274955"
"PRJ-0496-SMITHS plate for closed system-Project Plan,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\2017-2016 projects,-,09/02/2023 09:46:51,Doc-274956"
"PRJ-0497-Yclick body-2 cavities mold-Project Charter,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\2017-2016 projects,-,09/02/2023 09:46:51,Doc-274957"
"Spotify,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274936"
"signature,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274935"
"PRJ-0513-ACIST-Gamma compatible HP rotator-,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\2017-2016 projects,-,09/02/2023 09:46:51,Doc-274958"
"PRJ-0517-eMU-P FFPII-Project Plan,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop\2017-2016 projects,-,09/02/2023 09:46:51,Doc-274959"
"Reports Portal_x86,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274934"
"Project Management,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274933"
"- Lab Test,ayelet.ts,PMO-AYELET-W10   C:\ePDM_Elcam\Projects\PRJ-0646-Somatrogon Injector pen\Desktop,-,09/02/2023 09:46:34,Doc-274916"
